Grant,"Organization Name","Focus Area",Amount,Date
"GiveDirectly — General Support (December 2019)",GiveDirectly,"GiveWell-Recommended Charities","$2,500,000","December 2019"
"The END Fund — General Support (December 2019)","The END Fund","GiveWell-Recommended Charities","$2,500,000","December 2019"
"Center for Global Development — COVID-19 Local Response Guidelines","Center for Global Development","Biosecurity & Pandemic Preparedness","$250,000","March 2020"
"Against Malaria Foundation — General Support (December 2019)","Against Malaria Foundation","GiveWell-Recommended Charities","$2,500,000","December 2019"
"Sightsavers — Deworming Programs (January 2020)",Sightsavers,"GiveWell-Recommended Charities","$2,710,100","January 2020"
"Good Judgment Inc. — COVID-19 Forecasting","Good Judgment Inc.","Biosecurity & Pandemic Preparedness","$75,500","March 2020"
"Helen Keller International — Vitamin A Supplementation (January 2020)","Helen Keller International","GiveWell-Recommended Charities","$9,709,000","January 2020"
"Malaria Consortium — Seasonal Malaria Chemoprevention Programs (February 2020)","Malaria Consortium","GiveWell-Recommended Charities","$33,926,000","February 2020"
"Animal Equality — Cage-Free and Broiler Welfare","Animal Equality","Broiler Chicken Welfare","$1,901,000","February 2020"
"Smart Justice CA — California Criminal Justice Reform Lobbying (2019)","Smart Justice CA","Criminal Justice Reform","$50,000","December 2019"
"Bipartisan Commission on Biodefense — General Support","Bipartisan Commission on Biodefense","Biosecurity & Pandemic Preparedness","$2,970,000","February 2020"
"asha bandele — Criminal Justice Books","asha bandele","Criminal Justice Reform","$335,000","December 2019"
"Michigan Liberation — Prosecutor Accountability (2019)","Michigan Liberation","Criminal Justice Reform","$165,000","December 2019"
"Working Families Organization — Prosecutor Accountability and Criminal Justice Reform (2019)","Working Families Organization","Criminal Justice Reform","$1,440,000","November 2019"
"Employ America — General Support (October 2019)","Employ America","Macroeconomic Stabilization Policy","$1,000,000","October 2019"
"Study and Training Related to AI Policy Careers — Scholarship Support","Study and Training Related to AI Policy Careers",Longtermism,"$594,240","March 2020"
"Good Films Impact — “Just Mercy” Engagement","Good Films Impact","Criminal Justice Reform","$125,000","December 2019"
"A La Defensa — Prosecutor Accountability (2020)","A La Defensa","Criminal Justice Reform","$125,000","January 2020"
"Faith in Texas — Justice System Reform (2019)","Faith in Texas","Criminal Justice Reform","$150,000","December 2019"
"Riverside Justice Table — Prosecutor Accountability (2019)","Riverside Justice Table","Criminal Justice Reform","$275,000","December 2019"
"Faith in Action — Live Free Campaign (2019)","Faith in Action","Criminal Justice Reform","$400,000","December 2019"
"Sightline Institute — Housing and Urban Development (December 2019)","Sightline Institute","Land Use Reform","$600,000","December 2019"
"Georgetown Center for Global Health Science and Security — General Support (February 2020)","Georgetown Center for Global Health Science and Security","Biosecurity & Pandemic Preparedness","$1,200,000","February 2020"
"Animal Charity Evaluators — General Support (2020)","Animal Charity Evaluators","Farm Animal Welfare","$650,000","January 2020"
"Debt Collective — Criminal Justice Reform Work","The Debt Collective","Criminal Justice Reform","$75,000","December 2019"
"Centre for Effective Altruism — General Support and Community-Building Grants (2020)","Centre for Effective Altruism","Effective Altruism Community Growth","$4,146,795","January 2020"
"80,000 Hours — General Support (2020)","80,000 Hours","Effective Altruism Community Growth","$3,457,284","February 2020"
"Early-Career Funding for Global Catastrophic Biological Risks — Scholarship Support (2019-2020)","Early-Career Funding for Global Catastrophic Biological Risks","Biosecurity & Pandemic Preparedness","$1,402,330","July 2020"
"EA Scholarships — Scholarship Support (2019)","EA Scholarships","Effective Altruism Community Growth","$49,676","September 2019"
"Run, George, Run — General Support (February 2020)","Run, George, Run","Criminal Justice Reform","$30,000","February 2020"
"Texas Organizing Project PAC — General Support","Texas Organizing Project PAC","Criminal Justice Reform","$100,000","February 2020"
"UC Berkeley — AI Safety Research (2019)","UC Berkeley",Longtermism,"$1,111,000","December 2019"
"GiveWell — General Support (January 2020)",GiveWell,"Global Health & Development","$2,245,570","January 2020"
"Reform Jails and Community Reinvestment Initiative — Reform L.A. Jails Ballot Measure (2020)","Reform Jails and Community Reinvestment Initiative","Criminal Justice Reform","$300,000","February 2020"
"Ought — General Support (2020)",Ought,Longtermism,"$1,593,333","January 2020"
"Ought — General Support (2019)",Ought,Longtermism,"$1,000,000","November 2019"
"Run, George, Run — Los Angeles District Attorney Recruitment","Run, George, Run","Criminal Justice Reform","$25,000","September 2019"
"Youth and Families Taking Power — General Support","Youth and Families Taking Power","Criminal Justice Reform","$80,000","February 2020"
"Run, George, Run — General Support","Run, George, Run","Criminal Justice Reform","$70,000","February 2020"
"The Justice Collaborative — General Support (November 2019)","The Justice Collaborative","Criminal Justice Reform","$600,000","November 2019"
"Power Coalition for Equity and Justice — Criminal Justice Reform (2019)","Power Coalition for Equity and Justice","Criminal Justice Reform","$25,000","December 2019"
"Court Watch NOLA — General Support (2019)","Court Watch NOLA","Criminal Justice Reform","$500,000","December 2019"
"theguardian.org — Journalism on Factory Farming and Animal Cruelty (2020)",theguardian.org,"Farm Animal Welfare","$900,000","January 2020"
"Global Animal Partnership — Farm Animal Welfare Activities (2019)","Global Animal Partnership","Farm Animal Welfare","$1,000,000","December 2019"
"National Council for Incarcerated and Formerly Incarcerated Women and Girls — General Support (December 2019)","National Council for Incarcerated and Formerly Incarcerated Women and Girls","Criminal Justice Reform","$2,250,000","December 2019"
"The Good Food Institute — International Work","The Good Food Institute","Alternatives to Animal Products","$4,000,000","December 2019"
"Stanford University — Global Catastrophic Risk Education","Stanford University",Longtermism,"$250,000","December 2019"
"Center for Popular Democracy — Fed Up Campaign (2019)","Center for Popular Democracy","Macroeconomic Stabilization Policy","$600,000","November 2019"
"Dezernat Zukunft — Monetary and Fiscal Policy in Europe (2019)","Dezernat Zukunft","Macroeconomic Stabilization Policy","$100,000","December 2019"
"Griffith University — Farm Animal Welfare Advocacy","Griffith University","Farm Animal Welfare","$100,000","November 2019"
"Center for Global Development — Impact Evaluation Case Studies","Center for Global Development","Global Health & Development","$100,000","October 2019"
"Worth Rises — General Support (2019)","Worth Rises","Criminal Justice Reform","$300,000","December 2019"
"Movement Voter Project — Student Organizing","Movement Voter Project","Criminal Justice Reform","$100,000","November 2019"
"The Ahimsa Collective — “Life Comes From It” Fund Administration (2019)","The Ahimsa Collective","Criminal Justice Reform","$155,000","November 2019"
"Washington Center for Equitable Growth — Macroeconomic Policy Research","Washington Center for Equitable Growth","Macroeconomic Stabilization Policy","$750,000","November 2019"
"Essie Justice Group — General Support (December 2019)","Essie Justice Group","Criminal Justice Reform","$3,000,000","December 2019"
"Citizens for Juvenile Justice — General Support (2019)","Citizens for Juvenile Justice","Criminal Justice Reform","$75,000","November 2019"
"Oxford University — Animal Welfare Research","Oxford University","Farm Animal Welfare","$41,800","October 2019"
"UC Berkeley — Alternative Meats Lab (October 2019)","UC Berkeley","Alternatives to Animal Products","$700,000","October 2019"
"UC Berkeley — Center for Human-Compatible AI (2019)","UC Berkeley",Longtermism,"$200,000","November 2019"
"Promise of Justice Initiative — East Baton Rouge Parish Prison Reform Coalition (2019)","Promise of Justice Initiative","Criminal Justice Reform","$170,000","November 2019"
"Ohio Voice — Vision for Ohio Fellowship","Ohio Voice","Criminal Justice Reform","$210,000","November 2019"
"Plant Based Foods Association — Grocery Store Study","Plant Based Foods Association","Alternatives to Animal Products","$230,000","November 2019"
"The Soze Agency — Right of Return Fellowship (2019)","The Soze Agency","Criminal Justice Reform","$320,000","October 2019"
"American Conservative Union Foundation — Criminal Justice Reform (2019)","American Conservative Union Foundation","Criminal Justice Reform","$225,000","October 2019"
"Berkeley Existential Risk Initiative — CHAI Collaboration (2019)","Berkeley Existential Risk Initiative",Longtermism,"$705,000","November 2019"
"Anima International — Chicken Welfare Campaigns (2019)","Anima International","Broiler Chicken Welfare","$1,700,000","October 2019"
"Texas Organizing Project — Criminal Justice Reform (2019)","Texas Organizing Project","Criminal Justice Reform","$4,200,000","October 2019"
"Cincinnati Children’s Hospital Medical Center — Infant Immunome and Influenza Studies (Mary Staat)","Cincinnati Children’s Hospital Medical Center","Human Health and Wellbeing","$9,105,777","November 2019"
"SPCA Selangor — Farm Animal Welfare","SPCA Selangor","Broiler Chicken Welfare","$134,000","October 2019"
"Real Justice PAC — Criminal Justice Reform (October 2019)","Real Justice PAC","Criminal Justice Reform","$750,000","October 2019"
"Plant Based Foods Association — State-Level Policy (2019)","Plant Based Foods Association","Alternatives to Animal Products","$625,000","September 2019"
"Trap Heals — “Just Mercy” Engagement","Trap Heals","Criminal Justice Reform","$1,075,000","August 2019"
"Just Liberty — General Support (November 2019)","Just Liberty","Criminal Justice Reform","$320,000","November 2019"
"Quest for Democracy Fund — General Support","Quest for Democracy Fund","Criminal Justice Reform","$250,000","October 2019"
"FAI Farms — Promoting Poultry Welfare and Cage-Free Eggs","FAI Farms","Broiler Chicken Welfare","$132,400","September 2019"
"Texas Freedom Network — Texas Rising Program (2019)","Texas Freedom Network","Criminal Justice Reform","$150,000","October 2019"
"Plant-Based Meat Startups — Bootcamps in China","Plant-Based Meat Startups","Alternatives to Animal Products","$92,000","July 2019"
"Humane Society International — African Swine Fever Training","Humane Society International","Farm Animal Welfare","$13,145","October 2019"
"Just Media — Communications Training","Just Media","Criminal Justice Reform","$15,000","May 2019"
"Sankalpa — Farm Animal Welfare Workshop",Sankalpa,"Cage-Free Reforms","$22,000","July 2019"
